iter	Passed	Remaining
819	1262	277
820	1263	275
821	1264	273
822	1265	272
823	1266	270
824	1267	268
825	1268	267
826	1269	265
827	1270	263
828	1271	262
829	1272	260
830	1273	259
831	1275	257
832	1276	255
833	1277	254
834	1278	252
835	1279	251
836	1280	249
837	1281	247
838	1283	246
839	1284	244
840	1285	243
841	1286	241
842	1287	239
843	1288	238
844	1290	236
845	1291	235
846	1292	233
847	1293	231
848	1294	230
849	1295	228
850	1296	227
851	1298	225
852	1299	223
853	1300	222
854	1301	220
855	1302	219
856	1303	217
857	1304	215
858	1306	214
859	1307	212
860	1308	211
861	1309	209
862	1310	208
863	1311	206
864	1313	204
865	1315	203
866	1316	202
867	1318	200
868	1319	198
869	1321	197
870	1322	195
871	1324	194
872	1325	192
873	1326	191
874	1328	189
875	1329	188
876	1331	186
877	1333	185
878	1336	183
879	1338	182
880	1339	180
881	1341	179
882	1342	177
883	1344	176
884	1345	174
885	1347	173
886	1348	171
887	1350	170
888	1351	168
889	1353	167
890	1354	165
891	1355	164
892	1356	162
893	1358	161
894	1359	159
895	1360	157
896	1361	156
897	1362	154
898	1364	153
899	1365	151
900	1366	150
901	1367	148
902	1369	147
903	1370	145
904	1372	144
905	1373	142
906	1375	141
907	1376	139
908	1378	137
909	1379	136
910	1381	134
911	1382	133
912	1383	131
913	1385	130
914	1387	128
915	1388	127
916	1390	125
917	1391	124
918	1393	122
919	1395	121
920	1396	119
921	1398	118
922	1399	116
923	1401	115
924	1402	113
925	1404	112
926	1405	110
927	1406	109
928	1407	107
929	1409	106
930	1411	104
931	1412	103
932	1413	101
933	1414	99
934	1416	98
935	1417	96
936	1418	95
937	1420	93
938	1421	92
939	1422	90
940	1424	89
941	1425	87
942	1427	86
943	1428	84
944	1429	83
945	1431	81
946	1432	80
947	1433	78
948	1434	77
949	1436	75
950	1437	74
951	1439	72
952	1440	71
953	1442	69
954	1444	68
955	1445	66
956	1446	65
957	1447	63
958	1449	61
959	1450	60
960	1452	58
961	1454	57
962	1455	55
963	1456	54
964	1458	52
965	1459	51
966	1460	49
967	1462	48
968	1463	46
969	1464	45
970	1466	43
971	1467	42
972	1468	40
973	1469	39
974	1471	37
975	1472	36
976	1473	34
977	1474	33
978	1476	31
979	1477	30
980	1478	28
981	1479	27
982	1482	25
983	1483	24
984	1484	22
985	1486	21
986	1487	19
987	1488	18
988	1489	16
989	1490	15
990	1491	13
991	1493	12
992	1494	10
993	1495	9
994	1497	7
995	1498	6
996	1499	4
997	1500	3
998	1501	1
999	1503	0
