iter	Passed	Remaining
801	1576	389
802	1577	387
803	1579	384
804	1580	382
805	1581	380
806	1583	378
807	1584	376
808	1586	374
809	1587	372
810	1588	370
811	1590	368
812	1591	366
813	1593	364
814	1594	362
815	1596	359
816	1597	357
817	1599	355
818	1600	353
819	1602	351
820	1603	349
821	1604	347
822	1606	345
823	1608	343
824	1609	341
825	1611	339
826	1612	337
827	1614	335
828	1615	333
829	1617	331
830	1619	329
831	1621	327
832	1623	325
833	1624	323
834	1627	321
835	1628	319
836	1630	317
837	1631	315
838	1632	313
839	1634	311
840	1635	309
841	1637	307
842	1639	305
843	1640	303
844	1642	301
845	1643	299
846	1645	297
847	1646	295
848	1647	293
849	1649	291
850	1652	289
851	1655	287
852	1656	285
853	1658	283
854	1659	281
855	1661	279
856	1662	277
857	1664	275
858	1668	273
859	1669	271
860	1671	269
861	1672	267
862	1674	265
863	1675	263
864	1676	261
865	1678	259
866	1679	257
867	1682	255
868	1684	253
869	1685	251
870	1686	249
871	1688	247
872	1689	245
873	1690	243
874	1692	241
875	1694	239
876	1697	238
877	1698	236
878	1699	234
879	1701	232
880	1702	229
881	1704	227
882	1705	225
883	1706	223
884	1709	222
885	1711	220
886	1713	218
887	1715	216
888	1717	214
889	1718	212
890	1720	210
891	1721	208
892	1723	206
893	1725	204
894	1727	202
895	1729	200
896	1730	198
897	1732	196
898	1733	194
899	1735	192
900	1737	190
901	1740	189
902	1742	187
903	1743	185
904	1744	183
905	1746	181
906	1747	179
907	1749	177
908	1751	175
909	1755	173
910	1756	171
911	1758	169
912	1759	167
913	1760	165
914	1762	163
915	1763	161
916	1765	159
917	1767	157
918	1769	155
919	1771	154
920	1772	152
921	1774	150
922	1776	148
923	1777	146
924	1779	144
925	1782	142
926	1784	140
927	1785	138
928	1787	136
929	1788	134
930	1790	132
931	1791	130
932	1793	128
933	1796	126
934	1797	124
935	1798	123
936	1800	121
937	1801	119
938	1803	117
939	1804	115
940	1806	113
941	1807	111
942	1809	109
943	1810	107
944	1812	105
945	1813	103
946	1814	101
947	1816	99
948	1817	97
949	1818	95
950	1820	93
951	1821	91
952	1823	89
953	1824	87
954	1826	86
955	1827	84
956	1829	82
957	1830	80
958	1831	78
959	1833	76
960	1834	74
961	1836	72
962	1837	70
963	1838	68
964	1840	66
965	1841	64
966	1843	62
967	1844	60
968	1845	59
969	1847	57
970	1849	55
971	1850	53
972	1851	51
973	1853	49
974	1854	47
975	1855	45
976	1857	43
977	1858	41
978	1860	39
979	1861	37
980	1862	36
981	1863	34
982	1865	32
983	1867	30
984	1868	28
985	1869	26
986	1870	24
987	1872	22
988	1873	20
